judy,#genre#
靖天映畫,http://docker.livednow.dpdns.org/li-4gtv-4gtv055/index.m3u8
靖天國際,http://docker.livednow.dpdns.org/li-4gtv-4gtv063/index.m3u8
靖天資訊,http://docker.livednow.dpdns.org/li-4gtv-4gtv065/index.m3u8
靖天電影,http://docker.livednow.dpdns.org/li-4gtv-4gtv061/index.m3u8
靖天綜合,http://docker.livednow.dpdns.org/li-4gtv-4gtv046/index.m3u8
靖天戲劇,http://docker.livednow.dpdns.org/li-4gtv-4gtv058/index.m3u8
靖天歡樂,http://docker.livednow.dpdns.org/li-4gtv-4gtv054/index.m3u8
靖洋卡通,http://docker.livednow.dpdns.org/li-4gtv-4gtv057/index.m3u8
靖洋戲劇,http://docker.livednow.dpdns.org/li-4gtv-4gtv045/index.m3u8
滾動力 Rollor,http://docker.livednow.dpdns.org/4gtv-live012/index.m3u8
精選動漫台,http://docker.livednow.dpdns.org/4gtv-live024/index.m3u8
影迷數位紀實台,http://docker.livednow.dpdns.org/li-litv-ftv15/index.m3u8
影迷數位電影台,http://docker.livednow.dpdns.org/li-4gtv-4gtv011/index.m3u8
豬哥亮歌廳秀,http://docker.livednow.dpdns.org/4gtv-4gtv006/index.m3u8
豬哥亮歌廳秀,http://docker.livednow.dpdns.org/li-4gtv-4gtv006/index.m3u8
寰宇財經,http://docker.livednow.dpdns.org/li-4gtv-4gtv158/index.m3u8
寰宇新聞,http://docker.livednow.dpdns.org/li-litv-longturn14/index.m3u8
寰宇新聞台灣台,http://docker.livednow.dpdns.org/li-4gtv-4gtv156/index.m3u8
龍華日韓,http://docker.livednow.dpdns.org/li-litv-longturn11/index.m3u8
龍華卡通,http://docker.livednow.dpdns.org/li-litv-longturn01/index.m3u8
龍華洋片,http://docker.livednow.dpdns.org/li-litv-longturn02/index.m3u8
龍華偶像,http://docker.livednow.dpdns.org/li-litv-longturn12/index.m3u8
龍華經典,http://docker.livednow.dpdns.org/li-litv-longturn21/index.m3u8
龍華電影,http://docker.livednow.dpdns.org/li-litv-longturn03/index.m3u8
龍華戲劇,http://docker.livednow.dpdns.org/li-litv-longturn18/index.m3u8
戲劇免費看1台,http://docker.livednow.dpdns.org/4gtv-live010/index.m3u8
鏡電視新聞台,http://docker.livednow.dpdns.org/li-4gtv-4gtv075/index.m3u8

