台灣頻道,#genre#
中視,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv040/index.m3u8?proxy=true
中視,http://230taiwan.pendy.dpdns.org/of-4gtv-4gtv040/index.m3u8?proxy=true
台視,http://230taiwan.pendy.dpdns.org/4gtv-4gtv066/index.m3u8?proxy=true
台視,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv066/index.m3u8?proxy=true

民視旅遊,http://230taiwan.pendy.dpdns.org/li-litv-ftv07/index.m3u8?proxy=true
民視旅遊,http://230taiwan.pendy.dpdns.org/litv-ftv07/index.m3u8?proxy=true
亞洲旅遊,http://230taiwan.pendy.dpdns.org/4gtv-4gtv076/index.m3u8?proxy=true
亞洲旅遊,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv076/index.m3u8?proxy=true
亞洲旅遊,http://230taiwan.pendy.dpdns.org/of-4gtv-4gtv076/index.m3u8?proxy=true
ELTA生活旅遊,http://230taiwan.pendy.dpdns.org/4gtv-live120/index.m3u8?proxy=true
Smart知識台,http://230taiwan.pendy.dpdns.org/li-litv-longturn19/index.m3u8?proxy=true
Smart知識台,http://230taiwan.pendy.dpdns.org/litv-longturn19/index.m3u8?proxy=true
霹靂布袋戲,http://230taiwan.pendy.dpdns.org/4gtv-live145/index.m3u8?proxy=true


靖天日本,http://230taiwan.pendy.dpdns.org/4gtv-4gtv047/index.m3u8?proxy=true
靖天日本,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv047/index.m3u8?proxy=true
靖天育樂,http://230taiwan.pendy.dpdns.org/4gtv-4gtv062/index.m3u8?proxy=true
靖天育樂,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv062/index.m3u8?proxy=true
靖天映畫,http://230taiwan.pendy.dpdns.org/4gtv-4gtv055/index.m3u8?proxy=true
靖天映畫,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv055/index.m3u8?proxy=true
靖天國際,http://230taiwan.pendy.dpdns.org/4gtv-4gtv063/index.m3u8?proxy=true
靖天國際,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv063/index.m3u8?proxy=true
靖天資訊,http://230taiwan.pendy.dpdns.org/4gtv-4gtv065/index.m3u8?proxy=true
靖天資訊,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv065/index.m3u8?proxy=true
靖天電影,http://230taiwan.pendy.dpdns.org/4gtv-4gtv061/index.m3u8?proxy=true
靖天電影,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv061/index.m3u8?proxy=true
靖天綜合,http://230taiwan.pendy.dpdns.org/4gtv-4gtv046/index.m3u8?proxy=true
靖天綜合,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv046/index.m3u8?proxy=true
靖天戲劇,http://230taiwan.pendy.dpdns.org/4gtv-4gtv058/index.m3u8?proxy=true
靖天戲劇,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv058/index.m3u8?proxy=true
靖天歡樂,http://230taiwan.pendy.dpdns.org/4gtv-4gtv054/index.m3u8?proxy=true
靖天歡樂,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv054/index.m3u8?proxy=true
靖洋戲劇,http://230taiwan.pendy.dpdns.org/4gtv-4gtv045/index.m3u8?proxy=true
靖洋戲劇,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv045/index.m3u8?proxy=true
靖天卡通,http://230taiwan.pendy.dpdns.org/4gtv-4gtv044/index.m3u8?proxy=true
靖天卡通,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv044/index.m3u8?proxy=true
靖洋卡通,http://230taiwan.pendy.dpdns.org/4gtv-4gtv057/index.m3u8?proxy=true
靖洋卡通,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv057/index.m3u8?proxy=true

龍華電影,http://230taiwan.pendy.dpdns.org/li-litv-longturn03/index.m3u8?proxy=true
龍華電影,http://230taiwan.pendy.dpdns.org/litv-longturn03/index.m3u8?proxy=true
龍華洋片,http://230taiwan.pendy.dpdns.org/li-litv-longturn02/index.m3u8?proxy=true
龍華洋片,http://230taiwan.pendy.dpdns.org/litv-longturn02/index.m3u8?proxy=true
龍華經典,http://230taiwan.pendy.dpdns.org/li-litv-longturn21/index.m3u8?proxy=true
龍華經典,http://230taiwan.pendy.dpdns.org/litv-longturn21/index.m3u8?proxy=true
龍華日韓,http://230taiwan.pendy.dpdns.org/li-litv-longturn11/index.m3u8?proxy=true
龍華日韓,http://230taiwan.pendy.dpdns.org/litv-longturn11/index.m3u8?proxy=true
龍華偶像,http://230taiwan.pendy.dpdns.org/li-litv-longturn12/index.m3u8?proxy=true
龍華偶像,http://230taiwan.pendy.dpdns.org/litv-longturn12/index.m3u8?proxy=true
龍華戲劇,http://230taiwan.pendy.dpdns.org/li-litv-longturn18/index.m3u8?proxy=true
龍華戲劇,http://230taiwan.pendy.dpdns.org/litv-longturn18/index.m3u8?proxy=true
龍華卡通,http://230taiwan.pendy.dpdns.org/li-litv-longturn01/index.m3u8?proxy=true
龍華卡通,http://230taiwan.pendy.dpdns.org/litv-longturn01/index.m3u8?proxy=true

amc 電影台,http://230taiwan.pendy.dpdns.org/4gtv-4gtv017/index.m3u8?proxy=true
amc 電影台,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv017/index.m3u8?proxy=true
影迷數位電影台,http://230taiwan.pendy.dpdns.org/4gtv-4gtv011/index.m3u8?proxy=true
影迷數位電影台,http://230taiwan.pendy.dpdns.org/li-4gtv-4gtv011/index.m3u8?proxy=true

