香港,#genre#
体育频道|Rugby Pass TV,https://live.catvod.com/smart.php?id=Rugbypasstv
体育频道|RTM Sports HD,https://live.catvod.com/smart.php?id=Rtmsport
体育频道|Arena,https://live.catvod.com/smart.php?id=Arena
体育频道|Arena 2,https://live.catvod.com/smart.php?id=Arena2
体育频道|BolaArena 1,https://live.catvod.com/smart.php?id=Bolaarena1
体育频道|BolaArena 2,https://live.catvod.com/smart.php?id=Bolaarena2
体育频道|Astro Beinsports 1,https://live.catvod.com/smart.php?id=Astrobein1
体育频道|Astro Beinsports 2,https://live.catvod.com/smart.php?id=Astrobein2
体育频道|Astro Beinsports 3,https://live.catvod.com/smart.php?id=Astrobein3

台湾,#genre#
台湾|TVBS News 新闻台,https://live.catvod.com/smart.php?id=tvbs_n
台湾|TVBS 欢乐台 （备份）,https://live.catvod.com/smart.php?id=tvbshuanle_twn
台湾|TVBS HD,https://live.catvod.com/smart.php?id=tvbs
台湾|中天新闻 HD,https://live.catvod.com/smart.php?id=ctinews
台湾|中天娱乐 CTI Entertaiment,https://live.catvod.com/smart.php?id=ctient
台湾|中天综合 CTI Metro,https://live.catvod.com/smart.php?id=ctizhonghe
台湾|中天亚洲台,https://live.catvod.com/smart.php?id=ctiasia_twn
台湾|台视 TTV HD,https://live.catvod.com/smart.php?id=ttv_taiwan
台湾|台视新闻台,https://live.catvod.com/smart.php?id=ttvnews_twn
台湾|台视综合台,https://live.catvod.com/smart.php?id=ttvzhonghe
台湾|中视 HD,https://live.catvod.com/smart.php?id=zhongshihd_twn
台湾|中视新闻台,https://live.catvod.com/smart.php?id=zhongshinews_twn
台湾|民视 HD,https://live.catvod.com/smart.php?id=ftvhd_taiwan
台湾|民视新闻台 FTV News,https://live.catvod.com/smart.php?id=ftvnew_taiwan
台湾|民视台湾台,https://live.catvod.com/smart.php?id=ftvtaiwan_twn
台湾|华视 CTS HD,https://live.catvod.com/smart.php?id=ctshd_twn
台湾|公视 CTV,https://live.catvod.com/smart.php?id=ctv18_twn
台湾|八大第一 GTV First,https://live.catvod.com/smart.php?id=badafirst
台湾|八大综合 GTV Metro,https://live.catvod.com/smart.php?id=badazhonghe
台湾|八大戏剧 GTV Drama,https://live.catvod.com/smart.php?id=badadrama
台湾|八大娱乐 GTV Entertainment,https://live.catvod.com/smart.php?id=badaentertain
台湾|HBO_HD,https://live.catvod.com/smart.php?id=hbohd_twn
