107央視衛視,#genre#

CCTV-4K超高清,http://107.150.60.122/live/cctv4k.m3u8
CCTV-8K超高清,http://107.150.60.122/live/cctv8k.m3u8
CCTV-1HD,http://107.150.60.122/live/cctv1hd.m3u8
CCTV-2HD,http://107.150.60.122/live/cctv2hd.m3u8
CCTV-3HD,http://107.150.60.122/live/cctv3hd.m3u8
CCTV-4HD,http://107.150.60.122/live/cctv4hd.m3u8
CCTV-5HD,http://107.150.60.122/live/cctv5hd.m3u8
CCTV-5+HD,http://107.150.60.122/live/cctv5p.m3u8
CCTV-6HD,http://107.150.60.122/live/cctv6hd.m3u8
CCTV-7HD,http://107.150.60.122/live/cctv7hd.m3u8
CCTV-8HD,http://107.150.60.122/live/cctv8hd.m3u8
CCTV-9HD,http://107.150.60.122/live/cctv9hd.m3u8
CCTV-10HD,http://107.150.60.122/live/cctv10hd.m3u8
CCTV-11HD,http://107.150.60.122/live/cctv11hd.m3u8
CCTV-12HD,http://107.150.60.122/live/cctv12hd.m3u8
CCTV-13HD,http://107.150.60.122/live/cctv13hd.m3u8
CCTV-14HD,http://107.150.60.122/live/cctv14hd.m3u8
CCTV-15HD,http://107.150.60.122/live/cctv15hd.m3u8
CCTV-16HD,http://107.150.60.122/live/cctv16hd.m3u8
CCTV-17HD,http://107.150.60.122/live/cctv17hd.m3u8

江苏卫视HD,http://107.150.60.122/live/jswshd.m3u8
浙江卫视HD,http://107.150.60.122/live/zjwshd.m3u8
湖南卫视HD,http://107.150.60.122/live/hnwshd.m3u8
东方卫视HD,http://107.150.60.122/live/dfwshd.m3u8
重庆卫视HD,http://107.150.60.122/live/cqwshd.m3u8
东南卫视HD,http://107.150.60.122/live/dnwshd.m3u8
广西卫视HD,http://107.150.60.122/live/gxwshd.m3u8
湖北卫视HD,http://107.150.60.122/live/hbwshd.m3u8
辽宁卫视HD,http://107.150.60.122/live/lnwshd.m3u8
山东卫视HD,http://107.150.60.122/live/sdwshd.m3u8
天津卫视HD,http://107.150.60.122/live/tjwshd.m3u8
陕西卫视HD,http://107.150.60.122/live/snwshd.m3u8
广东卫视HD,http://107.150.60.122/live/gdwshd.m3u8
深圳卫视HD,http://107.150.60.122/live/szwshd.m3u8
