完整版litv,#genre#
50 掏掏新聞,https://www.litv.tv/channel/watch/litv-playout50
51 東森新聞台,https://www.litv.tv/channel/watch/4gtv-4gtv152
52 華視新聞,https://www.litv.tv/channel/watch/4gtv-4gtv052
53 民視新聞台,https://www.litv.tv/channel/watch/litv-ftv13
54 三立新聞iNEWS,https://www.litv.tv/channel/watch/iNEWS
57 東森財經新聞台,https://www.litv.tv/channel/watch/4gtv-4gtv153
58 非凡新聞台,https://www.litv.tv/channel/watch/4gtv-4gtv010
59 台視新聞,https://www.litv.tv/channel/watch/4gtv-4gtv051
60 中視新聞,https://www.litv.tv/channel/watch/4gtv-4gtv074
61 中天新聞台,https://www.litv.tv/channel/watch/4gtv-4gtv009
62 寰宇新聞台灣台,https://www.litv.tv/channel/watch/4gtv-4gtv156
63 寰宇新聞台,https://www.litv.tv/channel/watch/litv-longturn14
64 三十而已,https://www.litv.tv/channel/watch/litv-vchannel64
65 FOCUS焦點電影台,https://www.litv.tv/channel/watch/litv-vchannel65
66 龍華經典台,https://www.litv.tv/channel/watch/litv-xinchuang21
67 以愛為營,https://www.litv.tv/channel/watch/litv-vchannel67
68 影迷數位電影台,https://www.litv.tv/channel/watch/4gtv-4gtv011
69 龍華洋片台,https://www.litv.tv/channel/watch/litv-xinchuang02
70 Golden Movies,https://www.litv.tv/channel/watch/litv-vchannel70
71 龍華電影台,https://www.litv.tv/channel/watch/litv-xinchuang03
72 靖天電影台,https://www.litv.tv/channel/watch/4gtv-4gtv061
73 靖天映畫,https://www.litv.tv/channel/watch/4gtv-4gtv055
74 三國,https://www.litv.tv/channel/watch/litv-vchannel74
75 Golden影迷台,https://www.litv.tv/channel/watch/litv-vchannel75
76 中影電影院,https://www.litv.tv/channel/watch/litv-vchannel76
77 博斯高球台,https://www.litv.tv/channel/watch/litv-xinchuang05
78 博斯高球二台,https://www.litv.tv/channel/watch/litv-xinchuang06
79 博斯運動一台,https://www.litv.tv/channel/watch/litv-xinchuang07
80 博斯無限台,https://www.litv.tv/channel/watch/litv-xinchuang10
81 博斯網球台,https://www.litv.tv/channel/watch/litv-xinchuang09
82 博斯運動二台,https://www.litv.tv/channel/watch/litv-xinchuang08
83 博斯魅力台,https://www.litv.tv/channel/watch/litv-xinchuang04
84 博斯無限二台,https://www.litv.tv/channel/watch/litv-xinchuang13
85 綜藝新時代,https://www.litv.tv/channel/watch/litv-vchannel85
86 不眠日,https://www.litv.tv/channel/watch/litv-vchannel86
87 木曜4超玩 一日系列,https://www.litv.tv/channel/watch/litv-vchannel87
88 第1財經,https://www.litv.tv/channel/watch/litv-vchannel88
