108,#genre#

TVBS新聞台,http://192.168.1.108:8080/9.php?id=4gtv-4gtv072
東森新聞台,http://192.168.1.108:8080/9.php?id=4gtv-4gtv152
民視新聞台,http://192.168.1.108:8080/9.php?id=litv-ftv13
華視新聞,http://192.168.1.108:8080/9.php?id=4gtv-4gtv052
中視新聞,http://192.168.1.108:8080/9.php?id=4gtv-4gtv074
台視新聞,http://192.168.1.108:8080/9.php?id=4gtv-4gtv051
中天新聞台,http://192.168.1.108:8080/9.php?id=4gtv-4gtv009
東森財經台,http://192.168.1.108:8080/9.php?id=4gtv-4gtv153
寰宇新聞台,http://192.168.1.108:8080/9.php?id=litv-longturn14
寰宇台灣台,http://192.168.1.108:8080/9.php?id=4gtv-4gtv156
鏡新聞,http://192.168.1.108:8080/9.php?id=4gtv-4gtv075
非凡新聞台,http://192.168.1.108:8080/9.php?id=4gtv-4gtv010
非凡商業台,http://192.168.1.108:8080/9.php?id=4gtv-4gtv048
靖天日本台,http://192.168.1.108:8080/9.php?id=4gtv-4gtv047
民視旅遊台,http://192.168.1.108:8080/9.php?id=litv-ftv07
亞洲旅遊台,http://192.168.1.108:8080/9.php?id=4gtv-4gtv076
Smart知識台,http://192.168.1.108:8080/9.php?id=litv-longturn19
華視,http://192.168.1.108:8080/9.php?id=4gtv-4gtv041
中視,http://192.168.1.108:8080/9.php?id=4gtv-4gtv040
台視,http://192.168.1.108:8080/9.php?id=4gtv-4gtv066
民視,http://192.168.1.108:8080/9.php?id=4gtv-4gtv155
靖天育樂台,http://192.168.1.108:8080/9.php?id=4gtv-4gtv062
靖天映畫台,http://192.168.1.108:8080/9.php?id=4gtv-4gtv055
靖天國際台,http://192.168.1.108:8080/9.php?id=4gtv-4gtv063
靖天資訊台,http://192.168.1.108:8080/9.php?id=4gtv-4gtv065
靖天電影台,http://192.168.1.108:8080/9.php?id=4gtv-4gtv061
靖天綜合台,http://192.168.1.108:8080/9.php?id=4gtv-4gtv046
靖天戲劇台,http://192.168.1.108:8080/9.php?id=4gtv-4gtv058
靖天歡樂台,http://192.168.1.108:8080/9.php?id=4gtv-4gtv054
靖洋戲劇台,http://192.168.1.108:8080/9.php?id=4gtv-4gtv045
靖天卡通台,http://192.168.1.108:8080/9.php?id=4gtv-4gtv044
靖洋卡通台,http://192.168.1.108:8080/9.php?id=4gtv-4gtv057
龍華洋片台,http://192.168.1.108:8080/9.php?id=litv-longturn02
龍華電影台,http://192.168.1.108:8080/9.php?id=litv-longturn03
龍華日韓台,http://192.168.1.108:8080/9.php?id=litv-longturn11
