litv,#genre#
Arirang TV,http://litv.go-iptv.ggff.net/litv.php?id=4gtv-4gtv079
達文西頻道,http://litv.go-iptv.ggff.net/litv.php?id=4gtv-4gtv018
靖洋卡通Nice Bingo,http://litv.go-iptv.ggff.net/litv.php?id=4gtv-4gtv057
靖天卡通台,http://litv.go-iptv.ggff.net/litv.php?id=4gtv-4gtv044
龍華卡通台,http://litv.go-iptv.ggff.net/litv.php?id=litv-xinchuang01
ELTV英語學習台,http://litv.go-iptv.ggff.net/litv.php?id=litv-xinchuang20
民視旅遊,http://litv.go-iptv.ggff.net/litv.php?id=litv-ftv07
亞洲旅遊,http://litv.go-iptv.ggff.net/litv.php?id=4gtv-4gtv076
Pet Club TV,http://litv.go-iptv.ggff.net/litv.php?id=4gtv-4gtv110
SMART知識台,http://litv.go-iptv.ggff.net/litv.php?id=litv-xinchuang19
視納華仁紀實頻道,http://litv.go-iptv.ggff.net/litv.php?id=4gtv-4gtv013
影迷數位紀實台,http://litv.go-iptv.ggff.net/litv.php?id=litv-ftv15
東森購物1台,http://litv.go-iptv.ggff.net/litv.php?id=4gtv-4gtv102
東森購物2台,http://litv.go-iptv.ggff.net/litv.php?id=4gtv-4gtv103
DayStar,http://litv.go-iptv.ggff.net/litv.php?id=daystar
