港澳台,#genre#
金光布袋戲,http://103.251.89.243:50007/4gtv-live144/index.m3u8
非凡商業台,http://103.251.89.243:50007/4gtv-4gtv048/index.m3u8
非凡新聞台,http://103.251.89.243:50007/4gtv-4gtv010/index.m3u8
客家電視台,http://103.251.89.243:50007/4gtv-4gtv043/index.m3u8
原住民族電視台,http://103.251.89.243:50007/4gtv-live014/index.m3u8
時尚運動X,http://103.251.89.243:50007/4gtv-4gtv014/index.m3u8
國會頻道1,http://103.251.89.243:50007/4gtv-4gtv084/index.m3u8
國會頻道2,http://103.251.89.243:50007/4gtv-4gtv085/index.m3u8
第1商業台,http://103.251.89.243:50007/4gtv-4gtv104/index.m3u8
博斯高球二台,http://103.251.89.243:50007/litv-longturn06/index.m3u8
博斯高球台,http://103.251.89.243:50007/litv-longturn05/index.m3u8
博斯無限二台,http://103.251.89.243:50007/litv-longturn13/index.m3u8
博斯無限台,http://103.251.89.243:50007/litv-longturn10/index.m3u8
博斯運動一台,http://103.251.89.243:50007/litv-longturn07/index.m3u8
博斯運動二台,http://103.251.89.243:50007/litv-longturn08/index.m3u8
博斯網球台,http://103.251.89.243:50007/litv-longturn09/index.m3u8
博斯魅力台,http://103.251.89.243:50007/litv-longturn04/index.m3u8
智林體育台,http://103.251.89.243:50007/4gtv-4gtv101/index.m3u8
華視,http://103.251.89.243:50007/4gtv-4gtv041/index.m3u8
華視新聞,http://103.251.89.243:50007/4gtv-4gtv052/index.m3u8
視納華仁紀實頻道,http://103.251.89.243:50007/4gtv-4gtv013/index.m3u8
愛爾達生活旅遊台,http://103.251.89.243:50007/4gtv-live120/index.m3u8
愛爾達娛樂台,http://103.251.89.243:50007/4gtv-4gtv070/index.m3u8
新唐人亞太台,http://103.251.89.243:50007/4gtv-live050/index.m3u8
經典卡通台,http://103.251.89.243:50007/4gtv-live022/index.m3u8
經典電影台,http://103.251.89.243:50007/4gtv-live021/index.m3u8
達文西頻道,http://103.251.89.243:50007/4gtv-4gtv018/index.m3u8
電影原聲台CMusic,http://103.251.89.243:50007/4gtv-live031/index.m3u8
靖天日本台,http://103.251.89.243:50007/4gtv-4gtv047/index.m3u8
靖天卡通台,http://103.251.89.243:50007/4gtv-4gtv044/index.m3u8
靖天育樂台,http://103.251.89.243:50007/4gtv-4gtv062/index.m3u8
靖天映畫,http://103.251.89.243:50007/4gtv-4gtv055/index.m3u8
靖天資訊台,http://103.251.89.243:50007/4gtv-4gtv065/index.m3u8
靖天電影台,http://103.251.89.243:50007/4gtv-4gtv061/index.m3u8
靖天綜合台,http://103.251.89.243:50007/4gtv-4gtv046/index.m3u8
靖天戲劇台,http://103.251.89.243:50007/4gtv-4gtv058/index.m3u8
靖洋卡通NiceBingo,http://103.251.89.243:50007/4gtv-4gtv057/index.m3u8
靖洋戲劇台,http://103.251.89.243:50007/4gtv-4gtv045/index.m3u8
滾動力rollor,http://103.251.89.243:50007/4gtv-live012/index.m3u8
精選動漫台,http://103.251.89.243:50007/4gtv-live024/index.m3u8
影迷數位紀實台,http://103.251.89.243:50007/litv-ftv15/index.m3u8
影迷數位電影台,http://103.251.89.243:50007/4gtv-4gtv011/index.m3u8
豬哥亮歌廳秀,http://103.251.89.243:50007/4gtv-4gtv006/index.m3u8
寰宇財經台,http://103.251.89.243:50007/4gtv-4gtv158/index.m3u8
寰宇新聞台,http://103.251.89.243:50007/litv-longturn14/index.m3u8
寰宇新聞台灣台,http://103.251.89.243:50007/4gtv-4gtv156/index.m3u8
龍華日韓台,http://103.251.89.243:50007/litv-longturn11/index.m3u8
龍華卡通台,http://103.251.89.243:50007/litv-longturn01/index.m3u8
龍華洋片台,http://103.251.89.243:50007/litv-longturn02/index.m3u8
龍華偶像台,http://103.251.89.243:50007/litv-longturn12/index.m3u8
龍華經典台,http://103.251.89.243:50007/litv-longturn21/index.m3u8
龍華電影台,http://103.251.89.243:50007/litv-longturn03/index.m3u8
龍華戲劇台,http://103.251.89.243:50007/litv-longturn18/index.m3u8
戲劇免費看1台,http://103.251.89.243:50007/4gtv-live010/index.m3u8
韓國娛樂台KMTV,http://103.251.89.243:50007/4gtv-4gtv016/index.m3u8
鏡電視新聞台,http://103.251.89.243:50007/4gtv-4gtv075/index.m3u8
霹靂布袋戲,http://103.251.89.243:50007/4gtv-live145/index.m3u8
