ezc,#genre#
TVBS新聞台,http://ezc.xtvantsc.xyz/litv.php?id=4gtv-4gtv072
TVBS歡樂台,http://ezc.xtvantsc.xyz/litv.php?id=4gtv-4gtv068
台視,http://ezc.xtvantsc.xyz/litv.php?id=4gtv-4gtv066
台視新聞台,http://ezc.xtvantsc.xyz/litv.php?id=4gtv-4gtv051
台視財經台,http://ezc.xtvantsc.xyz/litv.php?id=4gtv-4gtv056
博斯運動一台,http://ezc.xtvantsc.xyz/litv.php?id=litv-xinchuang07
博斯運動二台,http://ezc.xtvantsc.xyz/litv.php?id=litv-xinchuang08
博斯無限台,http://ezc.xtvantsc.xyz/litv.php?id=litv-xinchuang10
博斯無限二台,http://ezc.xtvantsc.xyz/litv.php?id=litv-xinchuang13
博斯網球台,http://ezc.xtvantsc.xyz/litv.php?id=litv-xinchuang09
博斯高球台,http://ezc.xtvantsc.xyz/litv.php?id=litv-xinchuang05
博斯高球二台,http://ezc.xtvantsc.xyz/litv.php?id=litv-xinchuang06
博斯魅力台,http://ezc.xtvantsc.xyz/litv.php?id=litv-xinchuang04
非凡新聞台,http://ezc.xtvantsc.xyz/litv.php?id=4gtv-4gtv010
非凡商業台,http://ezc.xtvantsc.xyz/litv.php?id=4gtv-4gtv048
VOA美國之音,http://ezc.xtvantsc.xyz/litv.php?id=litv-ftv03
